symbol,asset_class,amount,price,buy_or_sell,date,id,Accumulated_Securities,Avg_Moving_Price,Taxable_Amount
GPW,STK,30.0,9.0542016,BUY,2021-12-07,272314639,30,9.0542016,0.0
GPW,STK,28.0,9.0542016,BUY,2021-12-07,272314628,58,9.0542016,0.0
GPW,STK,49.0,9.0542016,BUY,2021-12-07,272314647,107,9.0542016,0.0
GPW,STK,86.0,9.0542016,BUY,2021-12-07,272314654,193,9.0542016,0.0
GPW,STK,24.0,9.0542016,BUY,2021-12-07,272314744,217,9.0542016,0.0
GPW,STK,41.0,9.0542016,BUY,2021-12-07,272314690,258,9.0542016,0.0
GPW,STK,42.0,9.0542016,BUY,2021-12-07,272314746,300,9.054201599999999,0.0
