TransactionID,Currency,Impact,MovingAveragePrice
230419674,HKD,54325.68,9.05428
233218291,HKD,22.767590000000382,9.050868102802339
237116620,HKD,0.013763021573505618,9.050866040380546
302631838,PLN,12488.27439,4.58959
230421866,SGD,6262.162499999999,1.5675
302631266,SGD,73.79999999999973,1.555291563275434
288789030,USD,-0.14004497999999999,0.14004497999999999
231506748,HKD,430468.99484432326,1.1989213498159754
272314639,PLN,5461.689780000001,3.2139188045942273
272314628,PLN,3493.6545678525017,2.533706004298965
272314647,PLN,4726.016504531437,1.8751635845428403
272314654,PLN,5936.374465191293,1.3233287317894833
272314744,PLN,1105.180963001138,1.2293258191969298
272314690,PLN,1727.5319459657667,1.1010194801294106
272314746,PLN,1545.2744812087237,0.9994435594557287
231486914,SGD,2802.8423836228285,1.2474560461285007
246451681,SGD,-1854.9768232289946,1.0955332923832923
249680202,SGD,1486.9085294840293,0.999973618251928
261315270,SGD,1075.579945212082,0.9421000672585418
267423025,SGD,-179.77075096045195,0.9327340804418047
267424577,SGD,-91.17788166093572,0.9280614067544714
267425941,SGD,-16.30678159175934,0.9272281952889478
267426893,SGD,-8.129227663379488,0.9268134387755101
267426899,SGD,-121.75799586734695,0.9207361741951584
273696045,SGD,-403.34785693785864,0.901984530450953
302502862,USD,1.9687248029999997,0.8941047663686182
289630848,USD,0.39181236443611267,0.9546294148541768
301931033,USD,-0.21777880869995148,0.9739470071671869
