symbol,asset_class,amount,price,buy_or_sell,date,id,Accumulated_Securities,Avg_Moving_Price,Taxable_Amount
VIPS-230120P00008000,OPT,-2.0,185.0,SELL,2021-12-20,289630848,-2,185.0,0.0
VIPS-230120P00008000,OPT,2.0,240.0,BUY,2021-12-31,301931033,0,185.0,-110.0
