symbol,amount,price,buy_or_sell,date
EUR.USD,-2.65,0.88296,SELL,2021-12-31
EUR.USD,-3.7,0.88983,SELL,2021-12-20
EUR.USD,4.8,0.88296,BUY,2021-12-31
